
__MAGICC 7.X DATA OUTPUT FILE__

OUTPUT:  DAT_SURFACE_TEMP
RUN:   SLR_AISSID_RCP26                                                                                                              
RUN_ID:                               1
DATE:   No Date specified.                                                                                                            
MAGICC-VERSION:   7.0.0.1 BETA, MAY 2016                                                                              

&THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS=          0,
 THISFILE_FIRSTYEAR=       1850,
 THISFILE_LASTYEAR=       2500,
 THISFILE_ANNUALSTEPS=          1,
 THISFILE_FIRSTDATAROW=         21,
 THISFILE_UNITS="K                                                                                                   ",
 THISFILE_DATTYPE="FOURBOXDATA                                                                                         ",
 /

   YEARS   GLOBAL    NH-OCEAN   NH-LAND   SH-OCEAN   SH-LAND
      1939      0.44604470E+00      0.33013500E+00      0.60957591E+00      0.43161270E+00      0.49340566E+00
      1940      0.46532233E+00      0.43848425E+00      0.60140228E+00      0.40534521E+00      0.49291484E+00
      1941      0.50757538E+00      0.35189273E+00      0.82342275E+00      0.40832756E+00      0.67922211E+00
      1942      0.42525283E+00      0.25435108E+00      0.55332947E+00      0.34927756E+00      0.92692566E+00
      1943      0.41257553E+00      0.30050975E+00      0.58118439E+00      0.38642034E+00      0.48326620E+00
      1944      0.36581879E+00      0.22684697E+00      0.54384613E+00      0.30000889E+00      0.64116160E+00
      1945      0.38659417E+00      0.30791713E+00      0.44362895E+00      0.29430584E+00      0.83700307E+00
      1946      0.38395674E+00      0.44421081E+00      0.40252686E+00      0.33078851E+00      0.38041433E+00
      1947      0.40303635E+00      0.45351947E+00      0.33116404E+00      0.32095445E+00      0.71613566E+00
      1948      0.51058687E+00      0.42304175E+00      0.98132833E+00      0.31705048E+00      0.53896077E+00
      1949      0.43995478E+00      0.32926446E+00      0.75895182E+00      0.19988186E+00      0.10108083E+01
      1950      0.31505666E+00      0.36114365E+00      0.37246704E+00      0.20857324E+00      0.47352854E+00
      1951      0.40674046E+00      0.45006142E+00      0.58856201E+00      0.36323702E+00      0.87104797E-01
      1952      0.50092638E+00      0.41536834E+00      0.86768341E+00      0.40095550E+00      0.37979635E+00
      1953      0.55583542E+00      0.44180859E+00      0.85411326E+00      0.39092663E+00      0.89458211E+00
      1954      0.44414126E+00      0.33048729E+00      0.76279449E+00      0.29798755E+00      0.67055257E+00
      1955      0.42271817E+00      0.34468831E+00      0.71788788E+00      0.26163425E+00      0.65387217E+00
      1956      0.50742827E+00      0.44888493E+00      0.84458160E+00      0.32653504E+00      0.67531586E+00
      1957      0.57272811E+00      0.46279985E+00      0.88949839E+00      0.44758181E+00      0.71358744E+00
      1958      0.51408403E+00      0.43610633E+00      0.60235850E+00      0.34615194E+00      0.11846466E+01
      1959      0.48528361E+00      0.48083996E+00      0.59404246E+00      0.36829845E+00      0.72012583E+00
      1960      0.52274362E+00      0.41269709E+00      0.80932363E+00      0.36270734E+00      0.85556285E+00
      1961      0.48359007E+00      0.34792135E+00      0.83683777E+00      0.33416529E+00      0.71392059E+00
      1962      0.36900766E+00      0.25202064E+00      0.50251770E+00      0.34785761E+00      0.50465902E+00
      1963      0.30792728E+00      0.19015936E+00      0.40587616E+00      0.23840293E+00      0.69883728E+00
      1964      0.18118035E+00      0.66373865E-01      0.74938456E-01      0.23078400E+00      0.52414449E+00
      1965      0.30741296E+00      0.21379653E+00      0.34568787E+00      0.29421220E+00      0.53908285E+00
      1966      0.33119171E+00      0.26439167E+00      0.32079315E+00      0.27028763E+00      0.76559957E+00
      1967      0.30832720E+00      0.23184690E+00      0.41486613E+00      0.25531564E+00      0.50590515E+00
      1968      0.38591705E+00      0.31982017E+00      0.44593048E+00      0.42606071E+00      0.29742686E+00
      1969      0.56219818E+00      0.48934461E+00      0.71592967E+00      0.53958912E+00      0.54100291E+00
      1970      0.71253070E+00      0.40593158E+00      0.10208257E+01      0.60560478E+00      0.13449834E+01
      1971      0.47247884E+00      0.24861308E+00      0.64177449E+00      0.38607207E+00      0.10772374E+01
      1972      0.43514004E+00      0.37170136E+00      0.44623820E+00      0.44059086E+00      0.56764984E+00
      1973      0.61327114E+00      0.45569200E+00      0.83363851E+00      0.60905073E+00      0.62363179E+00
      1974      0.50977712E+00      0.41184207E+00      0.25488027E+00      0.69840660E+00      0.58045196E+00
      1975      0.61645208E+00      0.51379518E+00      0.45791880E+00      0.74688007E+00      0.72638957E+00
      1976      0.70000599E+00      0.61117206E+00      0.62387085E+00      0.79387206E+00      0.74451192E+00
      1977      0.74122138E+00      0.50854896E+00      0.96616872E+00      0.64548136E+00      0.12941106E+01
      1978      0.73493159E+00      0.50426133E+00      0.96520233E+00      0.67644166E+00      0.11315130E+01
      1979      0.71792775E+00      0.58899159E+00      0.77147166E+00      0.73176048E+00      0.91491191E+00
      1980      0.76746429E+00      0.68814138E+00      0.74803162E+00      0.76001952E+00      0.10534185E+01
      1981      0.87042545E+00      0.71032857E+00      0.11101252E+01      0.82635006E+00      0.99900564E+00
      1982      0.82129958E+00      0.60254922E+00      0.12586034E+01      0.68341389E+00      0.10695724E+01
      1983      0.74163389E+00      0.51193122E+00      0.11345647E+01      0.64106802E+00      0.96850840E+00
      1984      0.58334600E+00      0.49481506E+00      0.58740997E+00      0.51729577E+00      0.10682068E+01
      1985      0.73661864E+00      0.65270383E+00      0.10087535E+01      0.59539374E+00      0.95538839E+00
      1986      0.81498155E+00      0.84119151E+00      0.94194539E+00      0.74288153E+00      0.75989787E+00
      1987      0.89938627E+00      0.73135771E+00      0.10670573E+01      0.85580140E+00      0.11920853E+01
      1988      0.83948320E+00      0.59877965E+00      0.11525828E+01      0.70922235E+00      0.13681132E+01
      1989      0.82512823E+00      0.67508342E+00      0.10837911E+01      0.76653825E+00      0.94262187E+00
      1990      0.94527183E+00      0.90325814E+00      0.10817108E+01      0.93291141E+00      0.83493042E+00
      1991      0.10104080E+01      0.94305021E+00      0.96233368E+00      0.91723248E+00      0.16431096E+01
      1992      0.87162910E+00      0.64130262E+00      0.12590052E+01      0.77240043E+00      0.11063054E+01
      1993      0.87445805E+00      0.70892802E+00      0.81152852E+00      0.91340064E+00      0.13109970E+01
      1994      0.89680942E+00      0.64154231E+00      0.11617788E+01      0.73370073E+00      0.16854935E+01
      1995      0.75047694E+00      0.54995386E+00      0.10582911E+01      0.70195865E+00      0.87119548E+00
      1996      0.83657741E+00      0.58011878E+00      0.11881383E+01      0.85000752E+00      0.79124705E+00
      1997      0.91526727E+00      0.79564583E+00      0.10348918E+01      0.97338700E+00      0.78776042E+00
      1998      0.11307215E+01      0.97323446E+00      0.12894465E+01      0.11406422E+01      0.12109146E+01
